word;wordTranslate;articleId;wordPlural;pluralSign;wordTranslatePlural
Unfallmeldung;сообщение о несчастном случае;3;Unfallmeldungen;n;сообщения
Unfallprotokoll;протокол несчастного случая;2;Unfallprotokolle;e;протоколы
Unfallschutz;защита от несчастных случаев;1;Unfallschutze;e;системы защиты
Unternehmen;компания;2;Unternehmen;-;компании
Untersuchung;обследование;3;Untersuchungen;n;обследования
unverbindliches Angebot;необязательное предложение;null;null;null;null
Urlaubsgeld;отпускные;2;Urlaubsgelder;-;выплаты
Verbot;запрет;2;Verbote;e;запреты
Verbotsschild;знак запрета;2;Verbotsschilder;n;знаки запрета
Verbrennung;ожог;3;Verbrennungen;n;ожоги
Vergütung;вознаграждение;3;Vergütungen;n;вознаграждения
Verhalten;поведение;2;Verhalten;-;поведение
Verkauf;продажи;1;Verkäufe;e;продажи
Verletzung;травма;3;Verletzungen;n;травмы
Verlust;убыток;1;Verluste;e;убытки
Vernetzung;сетевая интеграция;3;Vernetzungen;n;сети/связи
Versand;доставка;1;Versände;e;отправки
Versand;отправка;1;Versände;e;отправки
Versandkosten;стоимость доставки;4;null;null;null
Versandkosten;стоимость доставки;4;null;null;null
Versetzung;перевод на другую должность;3;Versetzungen;n;переводы
Vertrieb;сбыт;1;Vertriebe;e;сбытовые отделы
Verwaltung;администрация;3;Verwaltungen;n;администрации
Vollzeit;полная занятость;3;Vollzeiten;n;режимы
Voraussetzung;условие;3;Voraussetzungen;n;условия
Vorgesetzter;руководитель;1;Vorgesetzte;n;руководители
Vorschrift;инструкция;3;Vorschriften;en;инструкции
Vorsichtsmaßnahme;мера предосторожности;3;Vorsichtsmaßnahmen;n;меры
Vorsorgeuntersuchung;профилактический осмотр;3;Vorsorgeuntersuchungen;n;осмотры
Vorstellungsgespräch;собеседование;2;Vorstellungsgespräche;e;собеседования
Wachstum;рост;2;Wachstümer;-;росты
Ware;товар;3;Waren;n;товары
Wareneingang;приём товара;1;Wareneingänge;e;поступления
Warenkontrolle;контроль товара;3;Warenkontrollen;n;контроли
Warensendung;отправка товара;3;Warensendungen;n;отправки
Wartung;обслуживание;3;Wartungen;n;обслуживания
Weihnachtsgeld;рождественская премия;2;Weihnachtsgelder;-;премии
Weiterbildung;повышение квалификации;3;Weiterbildungen;n;курсы повышения
Werk;завод;2;Werke;-;заводы
Werkstatt;мастерская;3;Werkstätten;n;мастерские
Wettbewerb;конкуренция;1;Wettbewerbe;e;соревнования
Willkommensmappe;папка новичка;3;Willkommensmappen;n;папки
Wirtschaft;экономика;3;Wirtschaften;n;экономики
Wirtschaftszweig;отрасль экономики;1;Wirtschaftszweige;e;отрасли
Zahlung;платёж;3;Zahlungen;n;платежи
Zahlungseingang;поступление платежа;1;Zahlungseingänge;e;поступления платежей
Zahlungserinnerung;напоминание об оплате;3;Zahlungserinnerungen;n;напоминания
Zeitarbeitsfirma;агентство временной работы;3;Zeitarbeitsfirmen;n;агентства
Zeiterfassung;учёт рабочего времени;3;Zeiterfassungen;n;системы
Zeugniskopie;копия сертификата;3;Zeugniskopien;n;копии
Zins;процент;1;Zinsen;-;проценты
Zuschuss;субсидия;1;Zuschüsse;e;субсидии
Zuverlässigkeit;надёжность;3;Zuverlässigkeiten;n;надёжности
Zuverlässigkeit;надёжность;3;Zuverlässigkeiten;n;надёжности
Zweigstelle;отделение;3;Zweigstellen;n;отделения
