word;wordTranslate;articleId;wordPlural;pluralSign;wordTranslatePlural
Arbeitssuche;поиск работы;3;Arbeitssuchen;n;поиски
Arbeitsunfähigkeitsbescheinigung;справка о нетрудоспособности;3;Arbeitsunfähigkeitsbescheinigungen;n;справки
Arbeitsunfall;несчастный случай на работе;1;Arbeitsunfälle;e;случаи
Arbeitsverhältnis;трудовые отношения;2;Arbeitsverhältnisse;e;отношения
Arbeitsvertrag;трудовой договор;1;Arbeitsverträge;e;договоры
Arbeitsvertrag;трудовой договор;1;Arbeitsverträge;e;договоры
Arbeitszeit;рабочее время;3;Arbeitszeiten;n;время
Aufgabenbereich;область задач;1;Aufgabenbereiche;e;области
Aufgabengebiet;сфера задач;2;Aufgabengebiete;e;сферы
Aufstiegschance;шанс карьерного роста;3;Aufstiegschancen;n;шансы
Auftrag;заказ;1;Aufträge;e;заказы
Auftragsbestätigung;подтверждение заказа;3;Auftragsbestätigungen;n;подтверждения
Ausbildung;обучение;3;Ausbildungen;n;обучения
Ausgabe;расход;3;Ausgaben;n;расходы
Aushilfe;подработка;3;Aushilfen;n;подработки
Azubi;ученик;1;Azubis;s;ученики
Bankberater;банковский консультант;1;Bankberater;-;консультанты
Baustelle;стройка;3;Baustellen;n;стройки
Beamter;чиновник;1;Beamte;n;чиновники
Beanstandung;претензия;3;Beanstandungen;n;претензии
Beitrag;взнос;1;Beiträge;e;взносы
Belastbarkeit;стрессоустойчивость;3;Belastbarkeiten;n;устойчивость
Belegschaft;персонал;3;Belegschaften;n;коллективы
Belegschaft;персонал;3;Belegschaften;n;персонал (группы сотрудников)
Benutzername;имя пользователя;1;Benutzernamen;-;имена пользователей
Beratungsgespräch;консультация;2;Beratungsgespräche;e;консультации
Berufserfahrung;опыт работы;3;Berufserfahrungen;n;опыты
Berufsgenossenschaft;проф. ассоциация;3;Berufsgenossenschaften;n;ассоциации
Beschaffung;снабжение;3;Beschaffungen;n;снабжения
Beschäftigte;занятый работник;1;Beschäftigte;n;работники
Beschwerde;жалоба;3;Beschwerden;n;жалобы
Bestellung;заказ;3;Bestellungen;n;заказы
Bestimmung;положение;3;Bestimmungen;n;положения
Betrieb;предприятие;1;Betriebe;e;предприятия
Betriebsarzt;врач предприятия;1;Betriebsärzte;e;врачи
Betriebsausflug;корпоративная поездка;1;Betriebsausflüge;e;поездки
betriebsbedingte Kündigung;увольнение по причинам предприятия;3;betriebsbedingte Kündigungen;en;увольнения по причинам предприятия
Betriebsrat;производственный совет;1;Betriebsräte;e;советы
Betriebsrat;производственный совет;1;Betriebsräte;e;советы
Betriebsratsmitglied;член совета;3;Betriebsratsmitglieder;-;члены совета
Betriebsratswahl;выборы совета;3;Betriebsratswahlen;n;выборы
Betriebsrente;корпоративная пенсия;3;Betriebsrenten;n;корпоративные пенсии
Betriebsrestaurant;корпоративный ресторан;2;Betriebsrestaurants;-;рестораны
Betriebssport;корпоративный спорт;1;Betriebssportarten;-;виды спорта
Betriebsversammlung;собрание работников;3;Betriebsversammlungen;en;собрания
Bewerbung;заявка;3;Bewerbungen;n;заявки
Bewerbung;заявка;3;Bewerbungen;n;заявки
Bewerbungsunterlagen;документы заявки;4;null;null;null
